analysis,model,metric,mean,ci_low,ci_high,b01_a_correct_b_wrong,b10_a_wrong_b_correct,p_value
bootstrap_ci,model_a,accuracy,0.9457207407407408,0.9392592592592592,0.9516666666666667,,,
bootstrap_ci,model_a,macro_f1,0.9442212158171815,0.937552522060824,0.9501264324962966,,,
bootstrap_ci,model_b,accuracy,0.9567692592592594,0.9509212962962963,0.9618518518518518,,,
bootstrap_ci,model_b,macro_f1,0.9556413079722713,0.9497206509767182,0.960731614746604,,,
mcnemar,model_a_vs_model_b,paired_correctness,10.224924012158056,,,135.0,194.0,0.0013855545003828398
