class_name,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A
AnnualCrop,0.01089863916238148,-0.0022364477813243675,0.15259285554289817,0.24102116291721662,0.004490804125865333,-0.0016461113095283468,0.0030761655668417633,-0.0019868582487106144,-0.0033542274932066326,-0.0021463943024476223
Forest,0.015700678850213687,0.0033387945592403523,0.14699326530098913,0.21244138821959493,0.2974355295300483,0.006409551029404012,-0.0026772851000229506,9.866232673329016e-05,0.04902437329292294,-5.337315301100147e-05
HerbaceousVegetation,0.058930656810601514,0.015261331051588035,0.1352961419522762,0.8898149567345778,0.1776047725478808,0.041046580250064496,0.0017676427463690374,0.01362554361422854,0.023331613242626167,0.0038553528984387603
Highway,0.019934538155794133,0.03065397378802297,0.29585744661092755,0.6001487134099006,0.13644183352589603,0.0017457875609397967,0.00028981804847718246,0.014340003550052624,0.026649888426065423,0.006040821343660343
Industrial,0.005618529826402669,0.012210691452026348,0.6860134952664375,0.9554715241789817,0.6417722546458244,0.021931028902530646,0.0023229812383651644,0.008357490420341474,0.01774436450004576,0.0005373761653900158
Pasture,0.01823039196431636,0.012080883085727676,0.13969933353364467,0.3941177023947239,0.12799701720476148,0.003140549138188378,0.00294610992074012,0.004068632051348684,0.0420341997593641,0.007298860698938353
PermanentCrop,0.051000587880611396,-0.0013345041871070653,0.7304207711815834,0.8994354121685028,0.2548280772566795,0.02804257929325102,0.015807414442300792,0.0035501528382301415,0.0020208148956299002,0.009588221192359907
Residential,-0.002621672550837196,-0.004255281587441748,0.517068094710509,0.9638267753521601,0.3024405387043953,-0.0024850746492544634,-0.0014550870160261698,-0.0031707011659939965,0.010508444458246221,-0.0012002767125765417
River,0.0952447321414947,0.020482651472091638,0.027266066491603843,0.0752369866967201,0.06946642428636549,0.015827083528041817,0.0026699790358543324,0.014014186561107604,0.02839726305007931,-4.228663444518434e-05
SeaLake,0.004210910846789682,0.0011585785945256559,0.05212667460242904,-0.0036894735197226035,0.10582614973187444,0.005289948036273312,-0.00045457765460013555,0.002137840737899139,-0.00013263965646425645,0.0025854569673538085
