bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,14,0.5714285714285714,0.370557644537517,0.2008709268910544
0.4,0.5,47,0.5319148936170213,0.4634640115372678,0.06845088207975347
0.5,0.6000000000000001,126,0.5634920634920635,0.5487165749073029,0.014775488584760632
0.6000000000000001,0.7000000000000001,152,0.6381578947368421,0.6514876500556344,0.013329755318792214
0.7000000000000001,0.8,174,0.7241379310344828,0.7547494666329746,0.030611535598491835
0.8,0.9,286,0.8426573426573427,0.8539069893060031,0.01124964664866035
0.9,1.0,4601,0.9865246685503152,0.9883751502194578,0.0018504816691425896
