bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,7,0.14285714285714285,0.35855876122202185,0.215701618364879
0.4,0.5,19,0.2631578947368421,0.46207026117726374,0.19891236644042165
0.5,0.6000000000000001,89,0.47191011235955055,0.5463873670342263,0.07447725467467575
0.6000000000000001,0.7000000000000001,94,0.5638297872340425,0.650918979594048,0.08708919236000545
0.7000000000000001,0.8,103,0.7281553398058253,0.7514480444991473,0.02329270469332201
0.8,0.9,152,0.631578947368421,0.8570604645892194,0.22548151722079834
0.9,1.0,4936,0.964546191247974,0.9951120861345597,0.030565894886585676
