bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,7,0.42857142857142855,0.35263208406312124,0.0759393445083073
0.4,0.5,24,0.3333333333333333,0.46213889867067337,0.12880556533734006
0.5,0.6000000000000001,71,0.5211267605633803,0.5496901248542356,0.028563364290855375
0.6000000000000001,0.7000000000000001,72,0.5972222222222222,0.6515678498480055,0.05434562762578332
0.7000000000000001,0.8,75,0.8266666666666667,0.7454499459266662,0.08121672074000041
0.8,0.9,138,0.7391304347826086,0.8579295670640641,0.11879913228145544
0.9,1.0,5013,0.9766606822262118,0.9950594839734896,0.018398801747277815
