bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,1,1.0,0.2733869254589081,0.7266130745410919
0.30000000000000004,0.4,2,1.0,0.35015664994716644,0.6498433500528336
0.4,0.5,15,0.5333333333333333,0.4672568599383036,0.0660764733950297
0.5,0.6000000000000001,54,0.6481481481481481,0.5488492956867924,0.09929885246135572
0.6000000000000001,0.7000000000000001,78,0.5512820512820513,0.6513338081347637,0.10005175685271239
0.7000000000000001,0.8,73,0.5616438356164384,0.7479679053776884,0.18632406976125004
0.8,0.9,130,0.7615384615384615,0.8529441595077515,0.09140569796928999
0.9,1.0,5047,0.9760253616009511,0.9965138608851432,0.020488499284192052
