bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,3,0.3333333333333333,0.37649327516555786,0.043159941832224546
0.4,0.5,23,0.5652173913043478,0.46709154481473175,0.09812584648961603
0.5,0.6000000000000001,49,0.6326530612244898,0.5587639480221028,0.073889113202387
0.6000000000000001,0.7000000000000001,85,0.5294117647058824,0.6544183064909542,0.12500654178507187
0.7000000000000001,0.8,77,0.5584415584415584,0.7555982857555538,0.19715672731399536
0.8,0.9,123,0.7398373983739838,0.8558419996160802,0.11600460124209644
0.9,1.0,5040,0.9777777777777777,0.9957152403418034,0.01793746256402562
