bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,6,0.5,0.3503642777601878,0.1496357222398122
0.4,0.5,23,0.4782608695652174,0.4607242851153664,0.01753658444985101
0.5,0.6000000000000001,100,0.51,0.5467024034261704,0.03670240342617037
0.6000000000000001,0.7000000000000001,96,0.59375,0.6508970347543558,0.057147034754355786
0.7000000000000001,0.8,115,0.6434782608695652,0.7519653087076934,0.10848704783812824
0.8,0.9,213,0.7746478873239436,0.851902874702579,0.07725498737863534
0.9,1.0,4847,0.9760676707241592,0.9936957898301293,0.017628119105970064
