bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,3,0.3333333333333333,0.3577614923318227,0.02442815899848938
0.4,0.5,32,0.34375,0.4587042583152652,0.11495425831526518
0.5,0.6000000000000001,84,0.5595238095238095,0.554916901957421,0.004606907566388485
0.6000000000000001,0.7000000000000001,89,0.5056179775280899,0.6540289112691129,0.148410933741023
0.7000000000000001,0.8,107,0.7289719626168224,0.755865395626175,0.026893433009352652
0.8,0.9,160,0.8,0.8587988503277302,0.058798850327730134
0.9,1.0,4925,0.9782741116751269,0.9935063263002386,0.015232214625111706
