bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,4,0.25,0.3472136631608009,0.09721366316080088
0.4,0.5,21,0.38095238095238093,0.463862582331612,0.08291020137923105
0.5,0.6000000000000001,78,0.48717948717948717,0.5528756800370339,0.06569619285754674
0.6000000000000001,0.7000000000000001,78,0.5512820512820513,0.6546433942440228,0.10336134296197153
0.7000000000000001,0.8,101,0.6831683168316832,0.751244062244302,0.06807574541261874
0.8,0.9,143,0.7272727272727273,0.8556460183817189,0.12837329110899165
0.9,1.0,4975,0.9833165829145729,0.9940940684649213,0.010777485550348409
