bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,0,0.0,0.0,0.0
0.30000000000000004,0.4,10,0.3,0.36504456400871277,0.06504456400871278
0.4,0.5,31,0.45161290322580644,0.46626087927049203,0.014647976044685596
0.5,0.6000000000000001,76,0.47368421052631576,0.5459485218713158,0.07226431134500005
0.6000000000000001,0.7000000000000001,67,0.5373134328358209,0.6549488395007689,0.11763540666494798
0.7000000000000001,0.8,102,0.6862745098039216,0.7528364179181117,0.06656190811419016
0.8,0.9,135,0.7481481481481481,0.8555164160551848,0.10736826790703669
0.9,1.0,4979,0.9775055231974292,0.9950764497304734,0.01757092653304415
