bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,1,0.0,0.2836455404758453,0.2836455404758453
0.30000000000000004,0.4,5,0.4,0.3550782799720764,0.044921720027923606
0.4,0.5,20,0.3,0.458609813451767,0.158609813451767
0.5,0.6000000000000001,79,0.5316455696202531,0.5487847147108633,0.01713914509061021
0.6000000000000001,0.7000000000000001,75,0.56,0.6504518342018127,0.09045183420181269
0.7000000000000001,0.8,85,0.7647058823529411,0.7518962761935066,0.012809606159434495
0.8,0.9,164,0.8292682926829268,0.8587779442711574,0.0295096515882306
0.9,1.0,4971,0.9893381613357474,0.993959937937853,0.0046217766021056095
