bin_lower,bin_upper,count,accuracy,confidence,gap
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,1,0.0,0.2996024489402771,0.2996024489402771
0.30000000000000004,0.4,9,0.1111111111111111,0.36196309328079224,0.25085198216968113
0.4,0.5,29,0.5172413793103449,0.45961045396739036,0.0576309253429545
0.5,0.6000000000000001,103,0.5728155339805825,0.5505642451128914,0.02225128886769112
0.6000000000000001,0.7000000000000001,121,0.628099173553719,0.6503432082735803,0.02224403471986125
0.7000000000000001,0.8,130,0.7538461538461538,0.7565368831157684,0.0026907292696145557
0.8,0.9,256,0.8203125,0.8565208322834224,0.03620833228342235
0.9,1.0,4751,0.9907387918332983,0.9902403738919722,0.0004984179413261014
